Number,Questions,Reasoning,Numerical Answer (If available),Nearest Power of ten
35,"The original Rosetta Stone was a rather inefficient way to store information, in terms of words per kilogram. How many times more efficient is a hardcover copy of the first Diary of a Wimpy Kid book? (The original Rosetta Stone communicated the same message three times in three different languages, but consider the total words on it to be just the number of words in the English translation of the original (unrepeated) message)","~1600 words in OG message, rosetta stone weighs 760kg ? 2.11 words/kg
Diary of a wimpy kid 0.391 kg, has 19,800 words ? 50639 words/kg ? 24,000 times more efficient",2.40E+04,4
36,How many kilograms would all the eyeglasses lenses worn by Americans weigh?,"Glasses weigh 25-50g, frame weighs 5-10g, estimate lenses weigh 20 grams based on sources. ~150 million americans wear glasses, so 150 million * 20 grams = 3 billion grams -> 3 million kgs",3 million,6
37,How many adult bed bugs would you need to stack vertically (single file) to reach the height above sea level of the tallest active volcano in the world?,"~Bedbug size 0.5 mm (on average mixing fed vs. not fed)
Mauna Loa in Hawaii height is about 4,170 m
4.1e3 m / 5e-4 m = 8e6",8.00E+06,7
38,"How many dodecominos are there? 
Note: A dodecomino is made up of 12 unit squares connected edge to edge, while a tetromino, from Tetris, has 4 unit squares connected edge to edge. Rotations are considered equivalent pieces.","126,759 possible dodecominos when considering rotations equivalent (via wikipedia). 5


Suggestion for estimating would be estimating an average x in x^12, or an average y in 5 * y^(12 - 4) (if  you know there are 5 tetrominoes).",1.27E+05,5
39,"If you took all the energy released when a slug of sodium reacts with chlorine gas to launch all the salt produced from the reaction straight up (on earth), what height, in meters, above the ground would it reach?","mgh = 4.1e6 J.mol * 1 mol/0.058kg * m
h = 7e6 m 7
Mass cancels out! Do not need to know what a slug is.",7.00E+06,7
40,The electrostatic force between a proton and an electron 1 Angstrom apart is what fraction of the force needed to frictionlessly accelerate a neutron at a rate of 1 septillion meters per second squared?,"That electrostatic force is 2.3e-8 newtons. f=ma, mass of neutron is 1.67e-27kg, times 1 septillion is 1e24 so you need 1.67e-3 newtons. Fraction is 2.3e-8/1.67e-3=1.38e-5",1.38E-05,-5
41,"Over the course of a fortnight, a hundredth of a furlong of rain falls over a 3-hectare area. How many slugs of water fell per minute on average?","Hundredth of a furlong times 3 hectares is 60,330 cubic meters. This much water would weigh 60.3 million kg, which is 4.13 million slugs over the course of a fortnight, which is 20160 minutes. Thus, per minute, 204 slugs of water fell",2.04E+02,2
42,"Suppose you warm up your shoulder and throw a bowling ball at 0.995 times the speed of  light down a bowling lane. In the frame of reference of the bowling ball, how many nanoseconds will elapse before it contacts the pins?","Bowling lane is 18.29 meters long. Ball is moving at 298,293,496 meters per second. Time is dilated for the ball, factor is 1/sqrt(1-0.995^2) which is 10.01. Thus, it takes 10.01*18.29/298,293,496 -> 6.137e-7, 600 nanoseconds",6.00E+02,3
43,"If you covered the floor of the entire Flatiron Building with quarters, what would be the total value of the quarters in USD?","Flatiron building is 255,000 square feet, circle packing is ~0.90. Quarter is 0.716 square inches. Flatiron building is 36.7 million sq inches, times circle packing is 33.0 million sq inches, so you could fit 46.1 million quarters. Total value ~10 million",10 million,7
44,How many nanoseconds elapsed between the first tumbler (event in the Olympic Games) and the first Tumblr (account)?,"1932 to 2007 ~27,000 days ? 2.3e9 seconds -> 2.3e18 nanoseconds",2.30E+18,18
45,"Although friends often joke that they share one brain cell, what fraction of the cells in an average adult are actually brain cells (specifically neurons)?",1.0e11 brain cells / 3.3e13 human cells =  3e-3,3.00E-03,-3
46,How many meters of thread would you have if you unraveled all the T-shirts sold in the past 10 years?,"Roughly 2 billion T-shirts sold per year, extrapolate to 10 years 20 billion tshirts. Each one has roughly 120 meters of thread based on various sources, so 2400 billion meters -> 2.4 trillion",2.4 trillion,12
47,How many hamsters running on wheels would you need to temporarily produce the same amount of power as an average full capacity nuclear power plant?,"Nuclear power plant power  is 0.5e9 to 1e9 Watt.
Hamsters produce 5e-1 Watts.
1e9/5e-1 = 2e9 hamsters",2.00E+09,9
48,How much money (in USD) have movies starring Leonardo DiCaprio grossed worldwide?,"Just 2010-2019:
Once upon a time in hollywood - 377 mil
The revenant - 533mil
Wolf of wall street 407 mil
Great gatsby 353 mil
Django unchained 426 mil
J edgar 84 mil
Inception 839 mil
Shutter island 294 mil
Total is 3,313 mil ->3.3 billion
Titanic (1997) is >2billion worldwide
Which bumps it to over 5.3 billion, hitting the roundup cutoff. He did not act in enough movies to reach 44 billion with his other movies",44 billion,10
49,What proportion of Princeton’s undergraduate campus is taken up by the room you are currently in?,"From google maps, end to end building is 102.2meters.

From floor plans:

Analyzing floor plans image in google slides, width of room 009 is 0.09 of total building width, so 9.2 meters across. It’s roughly square, so it’s 84.6 square meters (this seems right), which is 0.02090512 acres. Princeton is 600 acres. Ratio is 3.48e-5",3.48E-05,-5
50,"PUSO tournament co-director Inwoo Shin is attempting to remember her password, which she knows is exactly 10 numbers long. She randomly types 10 numbers at a rate of 1 number per second and then checks if the password is correct. She repeats this until she gets the password right. What is the expected number of minutes she will take to get the password correct?","Each attempt has 10^-10 chance of success and takes 10 seconds, so expected minutes taken is (10*10^10)/60= 1.6e9",1.60E+09,9
51,"This time, the computer (which is also owned jointly by PUSO tournament co-director Anthony Lopez) helps her out: for each attempt, as soon as she inputs a number incorrectly, the computer clears the attempt and she has to start over. She types at the same rate of one number every second. What is the expected number of minutes she will take to get the password correct?","Let x be the expected number of key presses until the password is correctly answered. There is a 90% chance she gets a number wrong, in which case she is back to the start. There is a 9 percent change she gets the first number right and the second one wrong, and so on. Thus, we have the equation

x=0.9(x+1)+0.09(x+2)+0.009(x+3)+...+1e-10(10)
x*1e-10 = 1.11111101
x=1.11e10
x/60 = 1.8e8",1.80E+08,8
52,"If every US coin in circulation was instead a bitcoin, how much would all the coins collectively be worth in US dollars? (Assume current value of bitcoin.)","Approximately 2.8e10 coins in circulation. Bitcoin value ~4e4.
2.8e10 * 4e4 = 1.12e15",1.12E+15,15
1,"If you’re taking this test as part SciOly, you should know that you’re part of one of the
greatest communities in high school. This section will try to serve as a testament to this fact. How
many secondary school students compete in Science Olympiad across the US?","According to team registration, there are currently 4,435 teams across the country, and
we can assume pretty fairly that the average number of people on a team is between 11 and 110, so
the answer should be 5 .",,5
2,"If you haven’t checked it out already, the SciOly.org forum is a pretty cool place to go and
meet people. How many total posts are there on the SciOly.org forum?","As of 1/18/2022, there are 407,000 posts, or 5 .",4.07E+05,5
3,"One of the most exciting prospects of competing is being able to go to Nationals. How many
total miles were travelled by Div C teams to the 2015 National Tournament in Lincoln,
NE?","I picked 2015 because NE is kind of in the middle of the country, so It’s pretty reasonable
to estimate that the average team travelled at least 1,000 miles, and since there were greater than
50 teams, this comes out to 5e4 miles, or 5 .",5.00E+04,5
4,"But even after you graduate, the Science Olympiad community will follow you around, to
college and beyond. How many alumni of SciOly are there?","Somewhere between 500,000 and 5,000,000, so 6 . The stat they give is that 28,000
graduate per year, and since SciOly has been running for around 35 years, this would fit into the
range.",5.00E+05,6
5,"You may even one day be part of running a competition yourself! How much Google Drive
space has MIT Science Olympiad used over the years since its inception in zettabytes?","The answer is around 8 GB, or 8e-12 zettabytes, so -11 .",8.00E-12,-11
6,"Your friend, YuQing, is a particle physics boi who works at the Large Hadron Collider. How
many times do accelerating particles travel around the circumference of the LHC every
fortnight?","(3e8m/s)/27km = 1.1e4 revolutions/sec. Convert to fortnights, getting 1.33e10 revs/fortnight 10 .",1.33E+10,10
7,"Often at the LHC, employees will engage in the simple pleasure of watching YouTube during
break time. How many views does the first video on YouTube have?","215 million as of Dec 22, 2021 (see jawed). 8",215 million,7
8,"After engaging in the stimulating thinking experiments about particle physics, let’s instead
talk about Large Happy Cows. What is the Big Mac Index of four-years of MIT tuition?","The Big Mac Index is how much something is worth in Big Macs. Currently, a Big Mac
costs $3.99 before tax, and MIT’s tuition is $53,450 / year. Thus, the answer is 4 .",5.35E+04,4
9,"Contrary to popular opinion, you only like to eat spicy things, so you decide to try a spicy
Big Mac. How spicy, in Scoville units, is the spiciest Big Mac in the world?","According to Google, the answer is 7e6, or 7 .",7.00E+06,7
10,"Now that you’ve eaten such a powerful Big Mac, you are feeling a bit queasy. How many
molecules of methane are released into the atmosphere each year due to cow manure?","Let’s assume each day that a cow produces 375L of methane[9]. There are about one billion cows in the world [10]. Multiplying together, we get 3.75e11L of methane; converting using STP of 22.4L/mol · 6.022e23 molecules/mol, we get 1e34 molecules, or 34 .",1.00E+34,34
11,"Man, climate change sucks! New studies have shown that the Arctic may be ice-free by 2035,
fifteen years earlier than the previous estimate of 2050. Calculate how much the global sea level
would rise in centimeters should all the ice in the Arctic melt.","Current Arctic ice cap volume is 7,830 km3 as of November 2021[11]. Volume of the
Earth’s oceans is around 1.37e18 m3 with an average depth of 4e3 m. Thus, the surface area is
around 3.425e14 m2. 7.83e12 m3 divided by 3.425e14 m2 yields 2.29e ? 2 m, or 2.29 cm. Thus, the
answer is 0 . Note that this may seem low but this is because most ice is in Antarctica (3e7 km3)
and Greenland.",2.29E+00,0
12,"Speaking of the oceans, did you know that there are actually a ton of viruses just chilling
on the surface of seawater? (well I guess they aren’t chilling because of climate change and increasing
ocean temperatures... but whatever!). How many viruses would you expect to find within a
cubic meter of surface seawater?","Campbell’s Biology states that 1e10 viruses are found per quart. Converting to cubic
meters, we get 1.056e13 viruses per cubic meter, or 13 .",1.06E+13,13
13,"You already knew this one was coming. How many total coronavirus vaccines have
been given to people around the world since the start of the pandemic?","According to Google, the answer is currently around 9.48 billion as of 10 . Can also just
assume like half the world has been double/triple vaxxed to get rough estimate",9.48 billion,10
14,"Onto quarantine activities! My friend Kristina really likes to read: how many books have
been bought since the start of the pandemic in 2020?","According to Google[12], the answer is around 200 million, or 8 . This can also be
estimated by guessing that Americans purchased an average of one book since the start of the
pandemic.",200 million,8
15,"Another popular quarantine activity was baking. My friend Tian really likes to bake banana
bread: how many grains (unit) of bananas were produced in the Philippines in 2020?","There were 9.056e6 metric tons of bananas produced in 2020[13]. Since a gram is around
15.4 grains, we can do convert the units to get 1.4e14 grains, or 14 .",1.40E+14,14
16,"Yet another popular quarantine activity was breathing. My friend Allen Ding really loves to
breathe: how many nitrogen atoms does a human inhale in the average breath?","The average breath is 500 mL. This corresponds to 500/22.4e3 moles of gas, which is 78% nitrogen,
coming out to around 1e22 molecules of nitrogen, or 22 .",1.00E+22,22
17,"In The Lorax, Aloysius O’Hare tries to sell bottled air to the public, making us very glad that
plants are here to bring us free oxygen. How many trees are there in the world?","3.04e12, so 12 .",3.04E+12,12
18,"Reminiscing about your childhood, now you want to watch a movie. Turns out, a lot of
Americans share the same sentiment. How much is the American film industry worth as of 2020
in Indonesian rupiahs?","9.18e10 USD, and 1 USD = 14,360 rupiah, so 1.3e15 rupiah, or 15 .",1.30E+15,15
19,"Apparently a significant part of my ”childhood” consisted of studying for Fermi exams on
Quizlet... how many Quizlet sets have been made in the history of the site?","According to Quizlet, it is over 500 million, so probably 9 .",500 million,9
20,"In a fitting end to a miscellaneous trivia section, you’ve probably heard that the canonical
Fermi Question is ”how many piano tuners are there in Chicago,” but I’m curious: how many piano
tuners are there in the entire world?","The answer appears to be around 11,000 via Google, so 4 .",1.10E+04,4
21,"The year is 2025, and you are preparing to become a new MIT tour guide. However, nerdy
students often ask many difficult questions about MIT, so as part of your training, you must learn to
handle whatever may be thrown at you. How many iPhone 12 Pro Max’s could fit inside the
Great Dome of MIT?","We will assume the Great Dome is a hemisphere. The diameter of this hemisphere is
100 feet[1], or around 30 meters. This yields a hemisphere volume of 5.655e4 m3. The volume of an
iPhone 12 Pro Max[2] is 9.3e ? 5 m3. Dividing these numbers gives us 6.1e8 iPhone 12 Pro Maxes,
so the answer is 9 .",6.10E+08,9
22,"History is a very important part of a school’s legacy! A curious student, Anne-Marie Xu, is
very interested in her networking prospects should she come to MIT, and asks you how many alumni
does MIT have?","140,000[3]. You could approach this calculation by taking the number of students in one
undergraduate class at MIT (?1,500) and multiplying by the number of years since MIT’s founding
since 1861 (251). This would be an overestimate as earlier classes had less students, but would give
the correct order of magnitude, 5 .",1.40E+05,5
23,"Anne-Marie is satisfied with your answer. She wonders just how successful these alumni are.
What is the combined GDP of all businesses started by MIT graduates (2013)? (Hint: it is
comparable to the 10th largest GDP country in the world).","The hint would be pretty helpful for anyone who has looked into largest GDPs (the
US sits at around 2e13, and approximating from there. We could also approach this problem by
considering the GDP of other companies like Meta. Koch Industries contributes the largest such
GDP at around 1e11 (? 1/8 of Meta). Using these as baselines to estimate, we can conclude the
answer is 2e12[4], and thus 12 .",2.00E+12,12
24,"Enough about money! After all, an MIT education should not be sought after for the money
– there’s a lot of cool science going on too! How many researchers, including post-doctoral
students, worked with MIT during Fall 2020?","5,100 researchers[5]. With a student to faculty ratio of 3:1 and a total enrollment of
around 12,000, we could get the number down to around 5, 000, as it is fair to say most professors
do research. Adding the 1,500 postdocs was made to incline people to choose 4 .",5.10E+03,4
25,"Recently in attempts to advance towards a sustainable fusion reactor, MIT Plasma Science
and Fusion Center (PSFC) developed a 20 T superconducting magnet with the goal of maintaining a
magnetic field strong enough to contain plasma the temperature of the Sun[1]

. In comparison to the
Earth’s magnetic field, how many times stronger is this new superconducting magnet?","Earth’s magnetic field is 3.05e-5 Teslas[6]. Dividing, we get 6.56e5, or 6 .",6.56E+05,6
26,"Another curious high schooler, Beter Barker, who just happened to be bitten by a radioactive
spider, is interested in how fast he can swing across campus. Given that his swing is purely
dependent on acceleration due to gravity, how many femtoseconds would it take Beter
Barker to swing across the Infinite Corridor? Assume that velocity remains constant and at its
maximal value and that Beter is 5’7 and begins his swings at shoulder height.","We make the reasonable assumption that Beter begins his swing form arm-level height
at around 5 feet. Using mgh = 1/2mv2
max, we get that vmax ? 5.465m/s. The infinite corridor is 251
meters long, so the swinging takes around 46 seconds, or 4.6e16 femtoseconds, 16 .",4.60E+16,16
27,"Beter is also interested in joining science-related clubs at MIT. Marveling at the prospect of
joining MIT SciOly, he innocently asks What is the cumulative total score of all teams that have
ever competed at MIT Science Olympiad Invitational tournaments (including no-shows)?","It happens that the answer is just a shade above 500, 000. We manually ran this calculation
based on the number of teams that competed each year, but the process was this: (1) add
up 1 to n, the number of teams (2) multiply by 23 (# of events) (3) add to cumulative sum. MIT
SciOly has been running for 7(!) years now, but the key thing to note was that 2021 had 150 teams,
accounting for more than half of this value, 6 .",5.00E+05,6
28,"One of the greatest worries in the daily life of an MIT student is to be hit by a car while
crossing Mass Ave on the way to class. We are here to see just how much of a concern this really is!
Given that each person living in Boston has an equal chance of getting in a car accident
and struck by lightning in the next year, how many times more likely are you to be struck
by lightning in your lifetime than to die as a pedestrian being hit by a car in your four
years at MIT?","Probability of getting struck by lightning in lifetime[7] is 1/15,300 , or 6.5e?5. The odds of
being hit as a pedestrian[8] per year are 1/42,806 , or 2.336e?5. Thus, the odds of not being hit 4 years
in a row are (1?2.336e?5)4, and the odds of being hit within those four years is the complement,
or 9.34e ? 5. So yeah, the answer is 0 , and fear is real.",,0
29,"On November 8th, 2021, MIT students around campus awoke to a special surprise: to com-
memorate a hack from seventy years ago, seventy poles around MIT were turned into barbershop poles

using red, white, and blue ribbon. If all such poles were as tall as those seen in Lobby 7, how
many square feet of ribbon would this have taken?","Computing lateral surface area of one such pole, we can just multiply by 70. The height
of Lobby 7 (and thus the pole), is approximately 100 feet. Each pole is also approximately 1.5 feet
in radius, so the lateral area is 942.48ft2. Multiplying by 70, we get 6.6e4ft2, or 5 .",6.60E+04,5
30,"A popular destination among students of MIT is the campus’s famed Banana Lounge, where
boxes upon boxes of bananas are made available for free to all students 24/7. How many bananas
were purchased for the banana lounge during the Fall 2018 semester?","The answer is 23,000 based on MIT UA spending for that semester, so 4 .",2.30E+04,4
31,"You have been selected to try out for an estimation game show, GalaxyBrain. This show
will consist of three rounds, each with one question, with the first round offering you a hefty prize
of $250,000 and each round thereafter being double-or-nothing. However, the host of GalaxyBrain,
a prominent individual named Haphne Dao, has sent you a challenging mathematics question to be
completed as a pre-requisite. The question reads: how many primes are there that are less than
6^350?","log 6 = log 2 + log 3 = 0.301 + 0.477 = 0.778
0.778 ? 350 = 272.3
ln 6^(3) * 50 = 350 ln 6 = 350 ? (0.778 ? 0.434) = 120.4
By Prime Number Theorem, ?(N) ? N/lnN = 1.66e270, or 270 .",1.66E+270,270
32,"Sometimes life is unfair... despite you solving the question correctly, Haphne Dao insists that
you can only participate on the show if you flip an unfair coin that comes up heads 3/7
of the time fifty times and get exactly 25 heads. What is the probability of this happening?","Estimate (50C25)· ( 3/7 )^25 · ( 4/7 )^25 using Stirling’s approximation to get around 0.067, or -1 .
Note that you could’ve definitely just assumed the coin was fair and gotten the same answer.",6.70E-02,-1
33,"You get lucky and land exactly 25 heads! You’ve made it onto the show. For the first question,
Haphne asks you to estimate the 127th Fibonacci number.","Converting Binet’s formula into logs, we get an approximation of 0.209n ? .349 for the
nth Fibonacci number, which should be accurate for n = 127. Plugging in, we get 26 .",,26
34,"With some money secured through that first round, you move on to the second round, which
features a diagram of a 5x5 square. How many ways are there to place the numbers 1-25 into
this square such that every row and column is increasing?","For all of the math people out there, we apply the wonderful hook-length formula[14].
25!/(9 ? 8^2 ? 7^3 ? 6^4 ? 5^5 ? 4^4 ? 3^3 ? 2^2)
? 7e8
Thus, the answer is 9 .",7.00E+08,9
35,"You’ve moved on to the final round with a chance to win a million dollars. How-
ever, if you get it wrong, you will lose all of your earnings up to now... what will you do? Compute 49^2^10^?2","So we start by taking log 50/ log 49 ? 1.005 to get an idea of what the exponent needs to
be above 49. The task now becomes to compare 2^(10^?2) to 1.005. This is 2^(1/100), which we can log pretty
easily as 1/100 * log 2 ? 0.003. So what is log 1.005? To tackle this, we can use a linear approximation
for log (1 + x). d/dx log (1 + x) = 1/(1+x) . Applying x = 0.005 now, we get f(1+x) = f(1)+f?(1)?(x) =
log 1 + 1/2 ? (0.05) = 0.0025. The higher-order derivatives of log (1 + x) alternate between positive
and negative, so we know that this is an overestimate and can safely say that 0.003 > log 1.005.
Thus, the expression evaluates to a value greater than 50, and the answer is 2 .",5.00E+01,2
36,"While writing this exam, I am currently listening to some nice lofi hip hop radio - beats to
relax/study to. Lo-Fi Girl on YouTube seems to be expending a lot of energy since her desk lamp is
on 24/7... How many jiffies (unit) will a standard 1600-lumen lightbulb stay on for after
capturing the energy released in one minute by the Sun that hits a square-meter of Earth
at noon at the equator at summer equinox?","This is approximately 1120W/m2, so 67, 200J. A standard 1600-lumen lightbulb is
equivalent to 100 incandescent watts, so it will last 672 seconds, or just over 11 minutes. A jiffy is
defined as around 33.35e ? 12 seconds. Converting seconds to jiffies, we get 2e13, or 13 .",2.00E+13,13
37,"I will fight you on this, but Christopher Nolan films are absolutely fire. In Interstellar,
scientists observe a disturbance in space-time within the orbit of Saturn and decide to send a crew to
explore it, to which they found a completely new star system. Although we are not close to sending
people out that far, we have at least made some progress! How many meters away from Earth is
the Voyager II spacecraft?","As of 1/18/2022, the answer is 1.9e13 meters, or 13",1.90E+13,13
38,"In Up, Carl uses a bunch of balloons to lift his house up off of the ground. I often wonder how

feasible this is, because my dorm is inconveniently far away from main campus. How many helium-
filled balloons would it take to lift the weight of an average house off of the ground?","It is safe to assume that an average house weighs around 1e5 kg. A standard helium
balloon can lift 14g of weight. Dividing, we get 7.1e6, or 7 .",7.10E+06,7
39,"You’re doing great so far on this exam! What a star! Assuming that humans are perfect
blackbodies, what is our peak wavelength of emission in nanometers?","Plug into Wien’s law with temperature of 310K and get 9.3e3 nm, or 4 .",9.30E+03,4
40,"I’m getting pretty tired writing this test though, and it really feels like my bed is calling
me. What is the gravitational attraction between me and my bed while I am sitting at my
desk?","F = Gm1m2/r^2 = (6.67e ? 11m^3kg^?1s^?2) · (70kg) · (100kg)/(4m)^2 = 2.9e ? 8N (1)
Average adult human male is 70 kg (and I guess I’m an average human), Bedframe is around 80kg,
Mattress is around 20kg. -8",2.90E-08,-8
41,"Sometimes when I sleep, I’m really good at sleeping through my alarms. Assuming that
my alarm is a 50W speaker and that I sleep five meters away from it, what is the amount
of energy in kJ that my eardrum absorbs per minute if the surface area of my ear is 80
mm^2?","Using I = P/A, we get I = 50/(4???5^2) = 0.159W/m2. Thus, the ear is absorbing 1.59e ?
7W/mm2 ? 1.27e ? 5W. Over one minute, this comes out to be 7.62e ? 4J, thus 7.62 ? e7kJ and
-6 .",7.62E-07,-6
42,"If you can’t already tell from this exam, I’m really good at spacing out. That’s my crappy
transition into writing a question about space. How many kJ of energy has been produced in all
of the supernovas that have thus far been recorded?","According to the Open Supernova Catalog, there have been around 94,000 observed
supernovae. The average supernova releases around 1e44 J, or 1e41 kJ. Multiplying together, we get
46 .",1.00E+41,46
43,"A very cool remnant of a supernova that occurred near us is Sagittarius A*. Assuming
perfect efficiency, how much energy would be produced from the entirety of the mass
contained in Sag A*?","The mass is 4e6 Msol. We use E = mc^2 to get E = (4e6) ? (1.989e30) ? (9e16) = 7.2e53,
and thus the answer is 53 .",7.20E+53,53
44,"Approximately this amount of energy will be released through Hawking Radiation across a
very, very long time. How many years will it take for Sag A* to completely evaporate?","The answer is on the order of 1e87 years, so 87 .",1.00E+87,87
45,"Now that’s a lot of energy! In America, we also use a lot of energy. How many pounds
(lbs) of wood need to be burned per year in order to sustain the yearly energy consumption
of America?","Googling, we get around 93e9 BTU, which converts to 2.7e7 kWh, or 9.72e13J. Wood
burns at around 2e7 J/kg, so we would need 4.86e6 kg of wood. Converting to lbs, we get 1e7, or
7 .",1.00E+07,7
1,"What was the total global energy consumption of Google in 2022, in Joules?",,,11
2,"How many times more permutations of a deck of cards exist than the number of positions
of a Rubik’s cube?",,,48
3,"What is the ratio of the gross domestic product (GDP) of the United States to that of San
Marino?",,,4
4,"A “blue moon” occurs when a full moon occurs twice in a single calendar month. How
many times could light circle the Earth’s equator between one blue moon and the next, on
average?",,,9
5,"If you pick a random point on the night sky, what is the probability that it is contained
within the shadow of Sagittarius A*, the black hole in the center of the Milky Way?",,,-20
6,"What is the probability that, on any given day in Singapore, there is a total solar eclipse?",,,-5
7,How many milliseconds are between the Battle of Hastings and D-Day?,,,13
8,"One of this tournament’s sponsors, Jane Street Capital, is known as a high-frequency
quantitative trading firm, with multiple offices around the world. In 2020, what was the
total worth of the securities that they traded, in US dollars?",,,13
9,"How many sheets of paper, stacked on top of each other, would it take to equal the height
of the Stanford Tree?",,,4
10,"In years, how old is the universe thought to be, in years?",,,10
11,"If all of the world’s freshwater was replaced by FairlifeTM Ultra-filtered Chocolate Milk,
then how many calories would I gain from drinking it all?",,,22
