top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,reasoning,0.7,cluster_mean_mean_wsqrt,353,0.9971751412429378,0.35127478753541075,0.6345609065155807,0.7535410764872521,201799.32011331446,3785033.2591070635,0.5680245533472279
40,reasoning,0.7,cluster_mean_median,353,0.9971751412429378,0.42209631728045327,0.6968838526912181,0.8073654390934845,194652.6345609065,3656728.946447764,0.6232467235769895
40,reasoning,0.7,cluster_mean_median_wsize,353,0.9971751412429378,0.3937677053824363,0.71671388101983,0.8016997167138811,272656.6005665722,5122308.927409015,0.6126095698843282
40,reasoning,0.7,cluster_mean_median_wsqrt,353,0.9971751412429378,0.42209631728045327,0.7195467422096318,0.8073654390934845,272656.552407932,5122308.927409028,0.6280176265742546
40,reasoning,0.7,cluster_mean_mode,353,0.9971751412429378,0.41359773371104813,0.7025495750708215,0.8130311614730878,23.6685552407932,373.00701753114345,0.6216024163858727
40,reasoning,0.7,cluster_mean_mode_wsize,353,0.9971751412429378,0.3937677053824363,0.7110481586402266,0.8045325779036827,272656.8016997167,5122308.92741754,0.6124358197905929
40,reasoning,0.7,cluster_mean_mode_wsqrt,353,0.9971751412429378,0.39943342776203966,0.7025495750708215,0.8073654390934845,272656.83002832864,5122308.9274176285,0.613784576479293
40,reasoning,0.7,cluster_median_mean,353,0.9971751412429378,0.35410764872521244,0.6628895184135978,0.7620396600566572,194912.68555240793,3656018.0610413565,0.5767031817127558
40,reasoning,0.7,cluster_median_mean_wsize,353,0.9971751412429378,0.40509915014164305,0.71671388101983,0.8215297450424929,311774.06798866857,5851645.189435168,0.6213919259584584
40,reasoning,0.7,cluster_median_mean_wsqrt,353,0.9971751412429378,0.38243626062322944,0.6798866855524079,0.7875354107648725,250495.3654390935,4700328.955272779,0.5980049716473438
40,reasoning,0.7,cluster_median_median,353,0.9971751412429378,0.44192634560906513,0.7280453257790368,0.8356940509915014,194632.64872521246,3656728.9274729583,0.6435942270758231
40,reasoning,0.7,cluster_median_median_wsize,353,0.9971751412429378,0.46458923512747874,0.7762039660056658,0.8583569405099151,389358.4135977337,7315315.447595127,0.6675942677004779
40,reasoning,0.7,cluster_median_median_wsqrt,353,0.9971751412429378,0.48158640226628896,0.7762039660056658,0.8611898016997167,388970.2747875354,7308023.5136741055,0.6765413876249554
40,reasoning,0.7,cluster_median_mode,353,0.9971751412429378,0.43909348441926344,0.7337110481586402,0.8328611898016998,3.7592067988668556,19.069353073161533,0.6429960818477
40,reasoning,0.7,cluster_median_mode_wsize,353,0.9971751412429378,0.46458923512747874,0.7705382436260623,0.8526912181303116,389358.4249291785,7315315.447595131,0.666177837105577
40,reasoning,0.7,cluster_median_mode_wsqrt,353,0.9971751412429378,0.46458923512747874,0.7648725212464589,0.8555240793201133,389358.43059490086,7315315.4475951325,0.6653279787486365
40,reasoning,0.7,cluster_mode_mean,353,0.9971751412429378,0.3597733711048159,0.6628895184135978,0.773371104815864,155987.06798866857,2924673.276909398,0.5800167000518973
40,reasoning,0.7,cluster_mode_mean_wsize,353,0.9971751412429378,0.40793201133144474,0.7252124645892352,0.8243626062322946,285823.671388102,5364081.277912888,0.6232909361096527
40,reasoning,0.7,cluster_mode_mean_wsqrt,353,0.9971751412429378,0.3937677053824363,0.6940509915014165,0.8073654390934845,214169.54957507082,4017830.0685534594,0.6073194398471231
40,reasoning,0.7,cluster_mode_median,353,0.9971751412429378,0.43909348441926344,0.7280453257790368,0.8385269121813032,4.620396600566572,25.02016184167419,0.6427190441799857
40,reasoning,0.7,cluster_mode_median_wsize,353,0.9971751412429378,0.46458923512747874,0.7818696883852692,0.8611898016997167,389358.447592068,7315315.0217980845,0.6668023682745788
40,reasoning,0.7,cluster_mode_median_wsqrt,353,0.9971751412429378,0.47592067988668557,0.7818696883852692,0.8640226628895185,388970.34560906515,7308023.5136741055,0.6727041624200196
40,reasoning,0.7,cluster_mode_mode,353,0.9971751412429378,0.43059490084985835,0.7280453257790368,0.8328611898016998,3.9943342776203967,19.53554180891089,0.636895945999956
40,reasoning,0.7,cluster_mode_mode_wsize,353,0.9971751412429378,0.46175637393767704,0.7818696883852692,0.8583569405099151,389358.45325779036,7315315.021798085,0.6651498659138612
40,reasoning,0.7,cluster_mode_mode_wsqrt,353,0.9971751412429378,0.46742209631728043,0.7790368271954674,0.8640226628895185,3.535410764872521,18.941687765633898,0.6686389503844591
40,reasoning,0.7,dedup_k_mean,353,0.9971751412429378,0.26345609065155806,0.5637393767705382,0.6770538243626062,284017.5835694051,5321025.668018664,0.4951490095021062
40,reasoning,0.7,dedup_k_median,353,0.9971751412429378,0.3342776203966006,0.6458923512747875,0.7875354107648725,389470.671388102,7315315.172368714,0.5674002490146318
40,reasoning,0.7,dedup_k_mode,353,0.9971751412429378,0.34844192634560905,0.6487252124645893,0.773371104815864,389470.730878187,7315315.172368856,0.5733491156680546
40,reasoning,0.7,dedup_text_mean,353,0.9971751412429378,0.37960339943342775,0.6713881019830028,0.773371104815864,233979.6997167139,4389641.780737318,0.5914980112132872
40,reasoning,0.7,dedup_text_median,353,0.9971751412429378,0.47592067988668557,0.7790368271954674,0.8583569405099151,389259.53824362607,7313457.854799524,0.6734373702709456
40,reasoning,0.7,dedup_text_mode,353,0.9971751412429378,0.45892351274787535,0.7818696883852692,0.8640226628895185,3.5722379603399435,18.991947003704002,0.6654682073499651
40,reasoning,0.7,mean,353,0.9971751412429378,0.37960339943342775,0.6713881019830028,0.773371104815864,233979.6997167139,4389641.780737318,0.5914980112132872
40,reasoning,0.7,median,353,0.9971751412429378,0.47592067988668557,0.7790368271954674,0.8583569405099151,389259.53824362607,7313457.854799524,0.6734373702709456
40,reasoning,0.7,mode,353,0.9971751412429378,0.45892351274787535,0.7818696883852692,0.8640226628895185,3.5722379603399435,18.991947003704002,0.6654682073499651
40,reasoning,0.7,trimmed_mean_10,353,0.9971751412429378,0.4164305949008499,0.7280453257790368,0.8215297450424929,239633.00283286118,4501887.829721838,0.6278852577112655
40,reasoning,0.7,winsor_mean_10,353,0.9971751412429378,0.39943342776203966,0.71671388101983,0.8101983002832861,233661.64872521246,4389613.511384903,0.6165330246111461
40,reasoning,1.0,cluster_mean_mean,353,0.9971751412429378,0.3314447592067989,0.6288951841359773,0.7422096317280453,259613.02266288953,4877390.035678311,0.5525151605855009
40,reasoning,1.0,cluster_mean_mean_wsize,353,0.9971751412429378,0.34277620396600567,0.6685552407932012,0.7677053824362606,311605.6912181303,5854281.645228909,0.571060763046267
40,reasoning,1.0,cluster_mean_mean_wsqrt,353,0.9971751412429378,0.34844192634560905,0.6515580736543909,0.7450424929178471,281815.2974504249,5294553.557777011,0.5675586704320938
40,reasoning,1.0,cluster_mean_median,353,0.9971751412429378,0.4192634560906516,0.7138810198300283,0.8045325779036827,389208.9660056657,7312510.66928186,0.6250171136505311
40,reasoning,1.0,cluster_mean_median_wsize,353,0.9971751412429378,0.40509915014164305,0.7025495750708215,0.8045325779036827,389587.06515580736,7319619.031454572,0.6165404344381729
40,reasoning,1.0,cluster_mean_median_wsqrt,353,0.9971751412429378,0.40226628895184136,0.7280453257790368,0.8158640226628895,389573.9150141643,7319371.749825822,0.6203072627160252
40,reasoning,1.0,cluster_mean_mode,353,0.9971751412429378,0.42776203966005666,0.7252124645892352,0.8158640226628895,388844.37393767707,7305649.588743963,0.6323801817550699
40,reasoning,1.0,cluster_mean_mode_wsize,353,0.9971751412429378,0.39943342776203966,0.6883852691218131,0.7960339943342776,389587.16997167136,7319619.031454773,0.6099530402737082
40,reasoning,1.0,cluster_mean_mode_wsqrt,353,0.9971751412429378,0.42492917847025496,0.7110481586402266,0.8101983002832861,389587.38243626064,7319619.031459769,0.6285508151133488
40,reasoning,1.0,cluster_median_mean,353,0.9971751412429378,0.34844192634560905,0.6487252124645893,0.7620396600566572,259613.33994334278,4877396.95488431,0.5685937760536165
40,reasoning,1.0,cluster_median_mean_wsize,353,0.9971751412429378,0.39943342776203966,0.7138810198300283,0.8186968838526912,311606.6685552408,5854302.296390124,0.615747653022389
40,reasoning,1.0,cluster_median_mean_wsqrt,353,0.9971751412429378,0.37960339943342775,0.6912181303116147,0.773371104815864,281815.90368271957,5294566.278468041,0.5954894336313399
40,reasoning,1.0,cluster_median_median,353,0.9971751412429378,0.43626062322946174,0.7393767705382436,0.8271954674220963,389208.9631728045,7312510.669285296,0.6414224645693505
40,reasoning,1.0,cluster_median_median_wsize,353,0.9971751412429378,0.48158640226628896,0.773371104815864,0.8583569405099151,389589.03966005665,7319660.2805467695,0.6755588057652073
40,reasoning,1.0,cluster_median_median_wsqrt,353,0.9971751412429378,0.45892351274787535,0.7818696883852692,0.8526912181303116,389573.75920679886,7319371.749830131,0.6644642298972612
40,reasoning,1.0,cluster_median_mode,353,0.9971751412429378,0.45325779036827196,0.7592067988668555,0.8413597733711048,388844.12181303115,7305649.588744752,0.6545809414400071
40,reasoning,1.0,cluster_median_mode_wsize,353,0.9971751412429378,0.47875354107648727,0.7705382436260623,0.8526912181303116,389589.0368271955,7319660.280546751,0.6732632888804554
40,reasoning,1.0,cluster_median_mode_wsqrt,353,0.9971751412429378,0.47875354107648727,0.7818696883852692,0.8498583569405099,389589.4815864023,7319660.280552296,0.6742915914593767
40,reasoning,1.0,cluster_mode_mean,353,0.9971751412429378,0.35127478753541075,0.6515580736543909,0.7620396600566572,259612.9433427762,4877396.954875035,0.5713972156696097
40,reasoning,1.0,cluster_mode_mean_wsize,353,0.9971751412429378,0.39660056657223797,0.7223796033994334,0.8215297450424929,311606.15014164307,5854302.296385158,0.6173533841127354
40,reasoning,1.0,cluster_mode_mean_wsqrt,353,0.9971751412429378,0.3626062322946176,0.6912181303116147,0.7818696883852692,281815.44192634564,5294566.278459946,0.5888837956990626
40,reasoning,1.0,cluster_mode_median,353,0.9971751412429378,0.42776203966005666,0.7308781869688386,0.830028328611898,389209.12464589236,7312510.669290689,0.6374091573607287
40,reasoning,1.0,cluster_mode_median_wsize,353,0.9971751412429378,0.47592067988668557,0.7818696883852692,0.8583569405099151,389588.98583569407,7319660.280547026,0.6753032159560898
40,reasoning,1.0,cluster_mode_median_wsqrt,353,0.9971751412429378,0.45325779036827196,0.7847025495750708,0.8555240793201133,389573.9490084986,7319371.749834676,0.6639161119553991
40,reasoning,1.0,cluster_mode_mode,353,0.9971751412429378,0.45325779036827196,0.7563739376770539,0.8413597733711048,388843.940509915,7305649.5887463465,0.6556906258746534
40,reasoning,1.0,cluster_mode_mode_wsize,353,0.9971751412429378,0.4730878186968839,0.7762039660056658,0.8555240793201133,389588.98583569407,7319660.28054701,0.6726771985991942
40,reasoning,1.0,cluster_mode_mode_wsqrt,353,0.9971751412429378,0.4702549575070821,0.7847025495750708,0.8526912181303116,389589.283286119,7319660.280551676,0.6722109499868001
40,reasoning,1.0,dedup_k_mean,353,0.9971751412429378,0.24929178470254956,0.49008498583569404,0.6487252124645893,302957.55807365436,5691493.860934481,0.47130212849629904
40,reasoning,1.0,dedup_k_median,353,0.9971751412429378,0.311614730878187,0.6572237960339944,0.8158640226628895,389574.86402266286,7319371.749834413,0.5622794842872084
40,reasoning,1.0,dedup_k_mode,353,0.9971751412429378,0.3314447592067989,0.6685552407932012,0.8186968838526912,389574.3059490085,7319371.7498283945,0.5755776797055095
40,reasoning,1.0,dedup_text_mean,353,0.9971751412429378,0.35127478753541075,0.6657223796033994,0.7648725212464589,311605.68838526914,5854281.64522886,0.5743525373720354
40,reasoning,1.0,dedup_text_median,353,0.9971751412429378,0.47875354107648727,0.7847025495750708,0.8583569405099151,389573.93201133143,7319371.749832484,0.6759408843701146
40,reasoning,1.0,dedup_text_mode,353,0.9971751412429378,0.48725212464589235,0.7762039660056658,0.8498583569405099,389573.9518413598,7319371.749835095,0.6785291877167348
40,reasoning,1.0,mean,353,0.9971751412429378,0.35127478753541075,0.6657223796033994,0.7648725212464589,311605.68838526914,5854281.64522886,0.5743525373720354
40,reasoning,1.0,median,353,0.9971751412429378,0.47875354107648727,0.7847025495750708,0.8583569405099151,389573.93201133143,7319371.749832484,0.6759408843701146
40,reasoning,1.0,mode,353,0.9971751412429378,0.48725212464589235,0.7762039660056658,0.8498583569405099,389573.9518413598,7319371.749835095,0.6785291877167348
40,reasoning,1.0,trimmed_mean_10,353,0.9971751412429378,0.42776203966005666,0.7138810198300283,0.8215297450424929,340799.7053824363,6402848.473772823,0.6312916705363554
40,reasoning,1.0,winsor_mean_10,353,0.9971751412429378,0.4192634560906516,0.7082152974504249,0.8016997167138811,311603.269121813,5854248.8056498915,0.6235873342155522
none,base,0.1,cluster_mean_mean,0,0.0,,,,,,
none,base,0.1,cluster_mean_mean_wsize,0,0.0,,,,,,
none,base,0.1,cluster_mean_mean_wsqrt,0,0.0,,,,,,
none,base,0.1,cluster_mean_median,0,0.0,,,,,,
none,base,0.1,cluster_mean_median_wsize,0,0.0,,,,,,
none,base,0.1,cluster_mean_median_wsqrt,0,0.0,,,,,,
none,base,0.1,cluster_mean_mode,0,0.0,,,,,,
none,base,0.1,cluster_mean_mode_wsize,0,0.0,,,,,,
none,base,0.1,cluster_mean_mode_wsqrt,0,0.0,,,,,,
none,base,0.1,cluster_median_mean,0,0.0,,,,,,
none,base,0.1,cluster_median_mean_wsize,0,0.0,,,,,,
none,base,0.1,cluster_median_mean_wsqrt,0,0.0,,,,,,
none,base,0.1,cluster_median_median,0,0.0,,,,,,
none,base,0.1,cluster_median_median_wsize,0,0.0,,,,,,
none,base,0.1,cluster_median_median_wsqrt,0,0.0,,,,,,
none,base,0.1,cluster_median_mode,0,0.0,,,,,,
none,base,0.1,cluster_median_mode_wsize,0,0.0,,,,,,
none,base,0.1,cluster_median_mode_wsqrt,0,0.0,,,,,,
none,base,0.1,cluster_mode_mean,0,0.0,,,,,,
none,base,0.1,cluster_mode_mean_wsize,0,0.0,,,,,,
none,base,0.1,cluster_mode_mean_wsqrt,0,0.0,,,,,,
none,base,0.1,cluster_mode_median,0,0.0,,,,,,
none,base,0.1,cluster_mode_median_wsize,0,0.0,,,,,,
none,base,0.1,cluster_mode_median_wsqrt,0,0.0,,,,,,
none,base,0.1,cluster_mode_mode,0,0.0,,,,,,
none,base,0.1,cluster_mode_mode_wsize,0,0.0,,,,,,
none,base,0.1,cluster_mode_mode_wsqrt,0,0.0,,,,,,
none,base,0.1,dedup_k_mean,353,0.9971751412429378,0.11331444759206799,0.24362606232294617,0.35694050991501414,65085794.441926345,1222850019.4922268,0.29666511790842165
none,base,0.1,dedup_k_median,353,0.9971751412429378,0.14447592067988668,0.32577903682719545,0.45042492917847027,389691.2549575071,7320273.132128813,0.3420519268433544
none,base,0.1,dedup_k_mode,353,0.9971751412429378,0.1643059490084986,0.33994334277620397,0.45892351274787535,389792.4589235127,7322159.945239613,0.3537681700740855
none,base,0.1,dedup_text_mean,353,0.9971751412429378,0.11898016997167139,0.32011331444759206,0.43059490084985835,35501366.96883853,667009101.5656753,0.32611449416201277
none,base,0.1,dedup_text_median,353,0.9971751412429378,0.23229461756373937,0.40226628895184136,0.5070821529745042,72.90934844192634,1058.473248393052,0.4126950970263988
none,base,0.1,dedup_text_mode,353,0.9971751412429378,0.22662889518413598,0.37393767705382436,0.5042492917847026,72.54107648725213,1058.6481424526346,0.40446838761190973
none,base,0.1,mean,353,0.9971751412429378,0.11898016997167139,0.29745042492917845,0.37677053824362605,35501380.21813031,667009101.565977,0.31110922169382205
none,base,0.1,median,353,0.9971751412429378,0.1954674220963173,0.34277620396600567,0.43059490084985835,74.27478753541077,1058.6398845212427,0.36433709414378423
none,base,0.1,mode,353,0.9971751412429378,0.18413597733711048,0.3087818696883853,0.4164305949008499,73.41359773371104,1058.322047035208,0.3478059907920327
none,base,0.1,trimmed_mean_10,353,0.9971751412429378,0.1388101983002833,0.3087818696883853,0.38526912181303113,129957.75637393768,2440304.0400845436,0.323307399822262
none,base,0.1,winsor_mean_10,353,0.9971751412429378,0.13314447592067988,0.29745042492917845,0.37677053824362605,141771.57790368272,2662265.8419143576,0.3180551271092494
none,base,0.4,cluster_mean_mean,0,0.0,,,,,,
none,base,0.4,cluster_mean_mean_wsize,0,0.0,,,,,,
none,base,0.4,cluster_mean_mean_wsqrt,0,0.0,,,,,,
none,base,0.4,cluster_mean_median,0,0.0,,,,,,
none,base,0.4,cluster_mean_median_wsize,0,0.0,,,,,,
none,base,0.4,cluster_mean_median_wsqrt,0,0.0,,,,,,
none,base,0.4,cluster_mean_mode,0,0.0,,,,,,
none,base,0.4,cluster_mean_mode_wsize,0,0.0,,,,,,
none,base,0.4,cluster_mean_mode_wsqrt,0,0.0,,,,,,
none,base,0.4,cluster_median_mean,0,0.0,,,,,,
none,base,0.4,cluster_median_mean_wsize,0,0.0,,,,,,
none,base,0.4,cluster_median_mean_wsqrt,0,0.0,,,,,,
none,base,0.4,cluster_median_median,0,0.0,,,,,,
none,base,0.4,cluster_median_median_wsize,0,0.0,,,,,,
none,base,0.4,cluster_median_median_wsqrt,0,0.0,,,,,,
none,base,0.4,cluster_median_mode,0,0.0,,,,,,
none,base,0.4,cluster_median_mode_wsize,0,0.0,,,,,,
none,base,0.4,cluster_median_mode_wsqrt,0,0.0,,,,,,
none,base,0.4,cluster_mode_mean,0,0.0,,,,,,
none,base,0.4,cluster_mode_mean_wsize,0,0.0,,,,,,
none,base,0.4,cluster_mode_mean_wsqrt,0,0.0,,,,,,
none,base,0.4,cluster_mode_median,0,0.0,,,,,,
none,base,0.4,cluster_mode_median_wsize,0,0.0,,,,,,
none,base,0.4,cluster_mode_median_wsqrt,0,0.0,,,,,,
none,base,0.4,cluster_mode_mode,0,0.0,,,,,,
none,base,0.4,cluster_mode_mode_wsize,0,0.0,,,,,,
none,base,0.4,cluster_mode_mode_wsqrt,0,0.0,,,,,,
none,base,0.4,dedup_k_mean,353,0.9971751412429378,0.0679886685552408,0.1954674220963173,0.35127478753541075,inf,inf,0.2752078816312803
none,base,0.4,dedup_k_median,353,0.9971751412429378,0.1388101983002833,0.35127478753541075,0.546742209631728,349778.15580736543,6570941.508344486,0.3770699520359015
none,base,0.4,dedup_k_mode,353,0.9971751412429378,0.1501416430594901,0.34560906515580736,0.5325779036827195,349806.0084985836,6570941.570628601,0.378024416080785
none,base,0.4,dedup_text_mean,353,0.9971751412429378,0.07932011331444759,0.2747875354107649,0.46742209631728043,inf,inf,0.3145889013118913
none,base,0.4,dedup_text_median,353,0.9971751412429378,0.22946175637393768,0.46458923512747874,0.623229461756374,349747.79320113314,6570941.434278221,0.4532932847985029
none,base,0.4,dedup_text_mode,353,0.9971751412429378,0.2521246458923513,0.46458923512747874,0.6005665722379604,349749.0028328612,6570941.434294771,0.45640856749173275
none,base,0.4,mean,353,0.9971751412429378,0.0679886685552408,0.17563739376770537,0.3087818696883853,inf,inf,0.2602901815794296
none,base,0.4,median,353,0.9971751412429378,0.17847025495750707,0.35694050991501414,0.46742209631728043,349807.65439093485,6570941.517758744,0.37196483464063906
none,base,0.4,mode,353,0.9971751412429378,0.17280453257790368,0.31728045325779036,0.3909348441926346,349809.7025495751,6570941.518306264,0.338191527617745
none,base,0.4,trimmed_mean_10,353,0.9971751412429378,0.07932011331444759,0.21246458923512748,0.34844192634560905,inf,inf,0.2819776270526148
none,base,0.4,winsor_mean_10,353,0.9971751412429378,0.0708215297450425,0.1954674220963173,0.3286118980169972,inf,inf,0.27205139232376285
none,base,0.7,cluster_mean_mean,0,0.0,,,,,,
none,base,0.7,cluster_mean_mean_wsize,0,0.0,,,,,,
none,base,0.7,cluster_mean_mean_wsqrt,0,0.0,,,,,,
none,base,0.7,cluster_mean_median,0,0.0,,,,,,
none,base,0.7,cluster_mean_median_wsize,0,0.0,,,,,,
none,base,0.7,cluster_mean_median_wsqrt,0,0.0,,,,,,
none,base,0.7,cluster_mean_mode,0,0.0,,,,,,
none,base,0.7,cluster_mean_mode_wsize,0,0.0,,,,,,
none,base,0.7,cluster_mean_mode_wsqrt,0,0.0,,,,,,
none,base,0.7,cluster_median_mean,0,0.0,,,,,,
none,base,0.7,cluster_median_mean_wsize,0,0.0,,,,,,
none,base,0.7,cluster_median_mean_wsqrt,0,0.0,,,,,,
none,base,0.7,cluster_median_median,0,0.0,,,,,,
none,base,0.7,cluster_median_median_wsize,0,0.0,,,,,,
none,base,0.7,cluster_median_median_wsqrt,0,0.0,,,,,,
none,base,0.7,cluster_median_mode,0,0.0,,,,,,
none,base,0.7,cluster_median_mode_wsize,0,0.0,,,,,,
none,base,0.7,cluster_median_mode_wsqrt,0,0.0,,,,,,
none,base,0.7,cluster_mode_mean,0,0.0,,,,,,
none,base,0.7,cluster_mode_mean_wsize,0,0.0,,,,,,
none,base,0.7,cluster_mode_mean_wsqrt,0,0.0,,,,,,
none,base,0.7,cluster_mode_median,0,0.0,,,,,,
none,base,0.7,cluster_mode_median_wsize,0,0.0,,,,,,
none,base,0.7,cluster_mode_median_wsqrt,0,0.0,,,,,,
none,base,0.7,cluster_mode_mode,0,0.0,,,,,,
none,base,0.7,cluster_mode_mode_wsize,0,0.0,,,,,,
none,base,0.7,cluster_mode_mode_wsqrt,0,0.0,,,,,,
none,base,0.7,dedup_k_mean,353,0.9971751412429378,0.06515580736543909,0.17847025495750707,0.28895184135977336,inf,inf,0.2414213482342689
none,base,0.7,dedup_k_median,353,0.9971751412429378,0.12181303116147309,0.32294617563739375,0.4985835694050991,144547.86685552407,2714485.4794862834,0.3563851312004293
none,base,0.7,dedup_k_mode,353,0.9971751412429378,0.11614730878186968,0.31728045325779036,0.4985835694050991,289022.26062322943,5428911.890300438,0.35064545348214976
none,base,0.7,dedup_text_mean,353,0.9971751412429378,0.06232294617563739,0.21529745042492918,0.3314447592067989,inf,inf,0.2550105798165116
none,base,0.7,dedup_text_median,353,0.9971751412429378,0.20113314447592068,0.44192634560906513,0.5524079320113314,289022.2747875354,5428911.890370232,0.4221501250790495
none,base,0.7,dedup_text_mode,353,0.9971751412429378,0.21529745042492918,0.39660056657223797,0.5070821529745042,349753.2804532578,6570941.434397574,0.39990729766860633
none,base,0.7,mean,353,0.9971751412429378,0.056657223796033995,0.20396600566572237,0.31728045325779036,inf,inf,0.2484895381410156
none,base,0.7,median,353,0.9971751412429378,0.18413597733711048,0.43059490084985835,0.5382436260623229,289022.4362606232,5428911.890371835,0.4090856109491289
none,base,0.7,mode,353,0.9971751412429378,0.2096317280453258,0.3881019830028329,0.49575070821529743,349753.4985835694,6570941.434401632,0.3922863634223861
none,base,0.7,trimmed_mean_10,353,0.9971751412429378,0.10764872521246459,0.24362606232294617,0.4192634560906516,inf,inf,0.3139379341356139
none,base,0.7,winsor_mean_10,353,0.9971751412429378,0.09348441926345609,0.23796033994334279,0.37677053824362605,inf,inf,0.3005773258984281
none,base,1.0,cluster_mean_mean,0,0.0,,,,,,
none,base,1.0,cluster_mean_mean_wsize,0,0.0,,,,,,
none,base,1.0,cluster_mean_mean_wsqrt,0,0.0,,,,,,
none,base,1.0,cluster_mean_median,0,0.0,,,,,,
none,base,1.0,cluster_mean_median_wsize,0,0.0,,,,,,
none,base,1.0,cluster_mean_median_wsqrt,0,0.0,,,,,,
none,base,1.0,cluster_mean_mode,0,0.0,,,,,,
none,base,1.0,cluster_mean_mode_wsize,0,0.0,,,,,,
none,base,1.0,cluster_mean_mode_wsqrt,0,0.0,,,,,,
none,base,1.0,cluster_median_mean,0,0.0,,,,,,
none,base,1.0,cluster_median_mean_wsize,0,0.0,,,,,,
none,base,1.0,cluster_median_mean_wsqrt,0,0.0,,,,,,
none,base,1.0,cluster_median_median,0,0.0,,,,,,
none,base,1.0,cluster_median_median_wsize,0,0.0,,,,,,
none,base,1.0,cluster_median_median_wsqrt,0,0.0,,,,,,
none,base,1.0,cluster_median_mode,0,0.0,,,,,,
none,base,1.0,cluster_median_mode_wsize,0,0.0,,,,,,
none,base,1.0,cluster_median_mode_wsqrt,0,0.0,,,,,,
none,base,1.0,cluster_mode_mean,0,0.0,,,,,,
none,base,1.0,cluster_mode_mean_wsize,0,0.0,,,,,,
none,base,1.0,cluster_mode_mean_wsqrt,0,0.0,,,,,,
none,base,1.0,cluster_mode_median,0,0.0,,,,,,
none,base,1.0,cluster_mode_median_wsize,0,0.0,,,,,,
none,base,1.0,cluster_mode_median_wsqrt,0,0.0,,,,,,
none,base,1.0,cluster_mode_mode,0,0.0,,,,,,
none,base,1.0,cluster_mode_mode_wsize,0,0.0,,,,,,
none,base,1.0,cluster_mode_mode_wsqrt,0,0.0,,,,,,
none,base,1.0,dedup_k_mean,353,0.9971751412429378,0.042492917847025496,0.1558073654390935,0.2237960339943343,inf,inf,0.1965970273506479
none,base,1.0,dedup_k_median,353,0.9971751412429378,0.11331444759206799,0.3314447592067989,0.48158640226628896,388922.9291784703,7305858.9976985995,0.3438568441860563
none,base,1.0,dedup_k_mode,353,0.9971751412429378,0.11614730878186968,0.3342776203966006,0.47592067988668557,388923.24079320114,7305858.997655197,0.34427031252107093
none,base,1.0,dedup_text_mean,353,0.9971751412429378,0.07365439093484419,0.17563739376770537,0.24929178470254956,inf,inf,0.226213027146111
none,base,1.0,dedup_text_median,353,0.9971751412429378,0.1813031161473088,0.37677053824362605,0.509915014164306,349807.1926345609,6570941.518168054,0.3874786851872328
none,base,1.0,dedup_text_mode,353,0.9971751412429378,0.21813031161473087,0.36827195467422097,0.46458923512747874,349752.6912181303,6570941.434389633,0.38991993259944074
none,base,1.0,mean,353,0.9971751412429378,0.07365439093484419,0.17563739376770537,0.24929178470254956,inf,inf,0.226213027146111
none,base,1.0,median,353,0.9971751412429378,0.1813031161473088,0.37677053824362605,0.509915014164306,349807.1926345609,6570941.518168054,0.3874786851872328
none,base,1.0,mode,353,0.9971751412429378,0.21813031161473087,0.36827195467422097,0.46458923512747874,349752.6912181303,6570941.434389633,0.38991993259944074
none,base,1.0,trimmed_mean_10,353,0.9971751412429378,0.0821529745042493,0.2521246458923513,0.3909348441926346,245210.12747875354,4603676.416658476,0.29612345711532745
none,base,1.0,winsor_mean_10,353,0.9971751412429378,0.09631728045325778,0.24929178470254956,0.37960339943342775,238763.46742209632,4479698.539175754,0.3003218525593698
none,reasoning,0.1,cluster_mean_mean,352,0.9943502824858758,0.38636363636363635,0.6846590909090909,0.7926136363636364,5.0794400131118884e+26,9.52987419543109e+27,0.5975110459898029
none,reasoning,0.1,cluster_mean_mean_wsize,352,0.9943502824858758,0.38636363636363635,0.6960227272727273,0.8011363636363636,2.641308806818182e+27,4.955534581624167e+28,0.6026385802033514
none,reasoning,0.1,cluster_mean_mean_wsqrt,352,0.9943502824858758,0.375,0.6846590909090909,0.8068181818181818,1.3815923580827056e+27,2.5920970280010947e+28,0.5948876086104306
none,reasoning,0.1,cluster_mean_median,352,0.9943502824858758,0.4005681818181818,0.7244318181818182,0.8125,6.65625,63.95717228242378,0.6171376049511571
